,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDA15,9.3,low fat,0.016,dairy,249.81,OUT049,1999,medium,Tier 1,supermarket type1,3735.14
1,DRC01,5.92,regular,0.0193,soft drinks,48.27,OUT018,2009,medium,Tier 3,supermarket type2,443.42
2,FDN15,17.5,low fat,0.0168,meat,141.62,OUT049,1999,medium,Tier 1,supermarket type1,2097.27
3,FDX07,19.2,regular,0.0,fruits and vegetables,182.1,OUT010,1998,medium,Tier 3,grocery store,732.38
4,NCD19,8.93,low fat,0.0,household,53.86,OUT013,1987,high,Tier 3,supermarket type1,994.71
5,FDP36,10.4,regular,0.0,baking goods,51.4,OUT018,2009,medium,Tier 3,supermarket type2,556.61
6,FDO10,13.65,regular,0.0127,snack foods,57.66,OUT013,1987,high,Tier 3,supermarket type1,343.55
7,FDP10,12.86,low fat,0.1275,snack foods,107.76,OUT027,1985,medium,Tier 3,supermarket type3,4022.76
8,FDH17,16.2,regular,0.0167,frozen foods,96.97,OUT045,2002,medium,Tier 2,supermarket type1,1076.6
9,FDU28,19.2,regular,0.0944,frozen foods,187.82,OUT017,2007,medium,Tier 2,supermarket type1,4710.54
10,FDY07,11.8,low fat,0.0,fruits and vegetables,45.54,OUT049,1999,medium,Tier 1,supermarket type1,1516.03
11,FDA03,18.5,regular,0.0455,dairy,144.11,OUT046,1997,small,Tier 1,supermarket type1,2187.15
12,FDX32,15.1,regular,0.1,fruits and vegetables,145.48,OUT049,1999,medium,Tier 1,supermarket type1,1589.26
13,FDS46,17.6,regular,0.0473,snack foods,119.68,OUT046,1997,small,Tier 1,supermarket type1,2145.21
14,FDF32,16.35,low fat,0.068,fruits and vegetables,196.44,OUT013,1987,high,Tier 3,supermarket type1,1977.43
15,FDP49,9.0,regular,0.0691,breakfast,56.36,OUT046,1997,small,Tier 1,supermarket type1,1547.32
16,NCB42,11.8,low fat,0.0086,health and hygiene,115.35,OUT018,2009,medium,Tier 3,supermarket type2,1621.89
17,FDP49,9.0,regular,0.0692,breakfast,54.36,OUT049,1999,medium,Tier 1,supermarket type1,718.4
18,DRI11,12.86,low fat,0.0342,hard drinks,113.28,OUT027,1985,medium,Tier 3,supermarket type3,2303.67
19,FDU02,13.35,low fat,0.1025,dairy,230.54,OUT035,2004,small,Tier 2,supermarket type1,2748.42
20,FDN22,18.85,regular,0.1382,snack foods,250.87,OUT013,1987,high,Tier 3,supermarket type1,3775.09
21,FDW12,12.86,regular,0.0354,baking goods,144.54,OUT027,1985,medium,Tier 3,supermarket type3,4064.04
22,NCB30,14.6,low fat,0.0257,household,196.51,OUT035,2004,small,Tier 2,supermarket type1,1587.27
23,FDC37,12.86,low fat,0.0576,baking goods,107.69,OUT019,1985,small,Tier 1,grocery store,214.39
24,FDR28,13.85,regular,0.0259,frozen foods,165.02,OUT046,1997,small,Tier 1,supermarket type1,4078.02
25,NCD06,13.0,low fat,0.0999,household,45.91,OUT017,2007,medium,Tier 2,supermarket type1,838.91
26,FDV10,7.64,regular,0.0667,snack foods,42.31,OUT035,2004,small,Tier 2,supermarket type1,1065.28
27,DRJ59,11.65,low fat,0.0194,hard drinks,39.12,OUT013,1987,high,Tier 3,supermarket type1,308.93
28,FDE51,5.92,regular,0.1615,dairy,45.51,OUT010,1998,medium,Tier 3,grocery store,178.43
29,FDC14,12.86,regular,0.0722,canned,43.65,OUT019,1985,small,Tier 1,grocery store,125.84
30,FDV38,19.25,low fat,0.1703,dairy,55.8,OUT010,1998,medium,Tier 3,grocery store,163.79
31,NCS17,18.6,low fat,0.0808,health and hygiene,96.44,OUT018,2009,medium,Tier 3,supermarket type2,2741.76
32,FDP33,18.7,low fat,0.0,snack foods,256.67,OUT018,2009,medium,Tier 3,supermarket type2,3068.01
33,FDO23,17.85,low fat,0.0,breads,93.14,OUT045,2002,medium,Tier 2,supermarket type1,2174.5
34,DRH01,17.5,low fat,0.0979,soft drinks,174.87,OUT046,1997,small,Tier 1,supermarket type1,2085.29
35,NCX29,10.0,low fat,0.0893,health and hygiene,146.71,OUT049,1999,medium,Tier 1,supermarket type1,3791.07
36,FDV20,12.86,regular,0.0595,fruits and vegetables,128.07,OUT027,1985,medium,Tier 3,supermarket type3,2797.69
37,DRZ11,8.85,regular,0.1131,soft drinks,122.54,OUT018,2009,medium,Tier 3,supermarket type2,1609.9
38,FDX10,12.86,regular,0.1231,snack foods,36.99,OUT027,1985,medium,Tier 3,supermarket type3,388.16
39,FDB34,12.86,low fat,0.0265,snack foods,87.62,OUT027,1985,medium,Tier 3,supermarket type3,2180.5
40,FDU02,13.35,low fat,0.1025,dairy,230.64,OUT046,1997,small,Tier 1,supermarket type1,3435.53
41,FDK43,9.8,low fat,0.0268,meat,126.0,OUT013,1987,high,Tier 3,supermarket type1,2150.53
42,FDA46,13.6,low fat,0.1178,snack foods,192.91,OUT049,1999,medium,Tier 1,supermarket type1,2527.38
44,FDL50,12.15,regular,0.0423,canned,126.5,OUT013,1987,high,Tier 3,supermarket type1,373.51
45,FDM39,6.42,low fat,0.0895,dairy,178.1,OUT010,1998,medium,Tier 3,grocery store,358.2
46,NCP05,19.6,low fat,0.0,health and hygiene,153.3,OUT045,2002,medium,Tier 2,supermarket type1,2428.84
47,FDV49,10.0,low fat,0.0259,canned,265.22,OUT045,2002,medium,Tier 2,supermarket type1,5815.1
48,FDL12,15.85,regular,0.1216,baking goods,60.62,OUT046,1997,small,Tier 1,supermarket type1,2576.65
50,NCL17,7.39,low fat,0.0678,health and hygiene,143.88,OUT046,1997,small,Tier 1,supermarket type1,3134.59
51,FDM40,10.2,low fat,0.1598,frozen foods,141.52,OUT013,1987,high,Tier 3,supermarket type1,850.89
52,FDR13,9.9,regular,0.0287,canned,117.05,OUT013,1987,high,Tier 3,supermarket type1,810.94
53,FDA43,10.9,low fat,0.065,fruits and vegetables,196.38,OUT017,2007,medium,Tier 2,supermarket type1,3121.27
54,NCP18,12.15,low fat,0.0288,household,151.47,OUT017,2007,medium,Tier 2,supermarket type1,4815.07
55,FDK21,7.9,low fat,0.0101,snack foods,249.04,OUT018,2009,medium,Tier 3,supermarket type2,6258.52
56,NCX54,9.2,low fat,0.0482,household,106.16,OUT045,2002,medium,Tier 2,supermarket type1,2117.24
57,DRK35,8.36,low fat,0.072,hard drinks,38.05,OUT049,1999,medium,Tier 1,supermarket type1,796.96
58,FDY21,15.1,low fat,0.1735,snack foods,194.51,OUT046,1997,small,Tier 1,supermarket type1,4910.27
59,FDI26,12.86,low fat,0.0611,canned,180.03,OUT019,1985,small,Tier 1,grocery store,892.17
60,FDM20,10.0,low fat,0.0,fruits and vegetables,246.91,OUT018,2009,medium,Tier 3,supermarket type2,3185.19
61,FDV27,7.97,regular,0.0401,meat,87.35,OUT045,2002,medium,Tier 2,supermarket type1,1062.62
62,FDF09,12.86,low fat,0.0121,fruits and vegetables,38.28,OUT027,1985,medium,Tier 3,supermarket type3,484.7
63,FDY40,12.86,regular,0.1503,frozen foods,51.07,OUT019,1985,small,Tier 1,grocery store,147.81
64,FDY45,12.86,low fat,0.026,snack foods,255.84,OUT027,1985,medium,Tier 3,supermarket type3,2543.36
66,FDH19,19.35,low fat,0.0331,meat,172.57,OUT035,2004,small,Tier 2,supermarket type1,4865.67
67,FDZ03,13.65,regular,0.0789,dairy,186.02,OUT045,2002,medium,Tier 2,supermarket type1,1118.54
68,DRH37,17.6,low fat,0.0417,soft drinks,164.85,OUT045,2002,medium,Tier 2,supermarket type1,2302.34
69,NCI17,8.64,low fat,0.1434,health and hygiene,95.84,OUT046,1997,small,Tier 1,supermarket type1,2027.36
70,FDJ58,15.6,regular,0.1053,snack foods,170.18,OUT046,1997,small,Tier 1,supermarket type1,3435.53
71,FDL12,15.85,regular,0.1215,baking goods,59.22,OUT013,1987,high,Tier 3,supermarket type1,599.22
72,FDH35,18.25,low fat,0.0,starchy foods,164.75,OUT045,2002,medium,Tier 2,supermarket type1,4604.67
73,FDG02,7.86,low fat,0.0113,canned,189.62,OUT017,2007,medium,Tier 2,supermarket type1,2285.03
74,NCZ18,7.82,low fat,0.1864,household,254.37,OUT049,1999,medium,Tier 1,supermarket type1,5580.74
75,FDC29,8.39,regular,0.0242,frozen foods,114.02,OUT046,1997,small,Tier 1,supermarket type1,2290.35
76,FDQ10,12.85,low fat,0.0332,snack foods,172.34,OUT049,1999,medium,Tier 1,supermarket type1,1207.1
77,FDN48,12.86,low fat,0.1137,baking goods,89.98,OUT019,1985,small,Tier 1,grocery store,643.16
78,FDL04,19.0,low fat,0.1126,frozen foods,104.96,OUT017,2007,medium,Tier 2,supermarket type1,1587.93
79,FDV25,5.9,low fat,0.0,canned,222.55,OUT045,2002,medium,Tier 2,supermarket type1,5305.09
80,FDD58,7.76,low fat,0.0594,snack foods,101.87,OUT046,1997,small,Tier 1,supermarket type1,1697.79
81,FDN04,11.8,regular,0.0141,frozen foods,180.33,OUT046,1997,small,Tier 1,supermarket type1,1427.48
82,FDV45,16.75,low fat,0.0452,snack foods,187.96,OUT018,2009,medium,Tier 3,supermarket type2,4693.89
84,FDR12,12.86,regular,0.0314,baking goods,171.38,OUT027,1985,medium,Tier 3,supermarket type3,3091.98
85,FDG20,15.5,regular,0.1264,fruits and vegetables,177.0,OUT017,2007,medium,Tier 2,supermarket type1,2479.44
86,FDZ55,6.06,low fat,0.0254,fruits and vegetables,160.99,OUT035,2004,small,Tier 2,supermarket type1,2716.46
87,FDQ49,12.86,regular,0.0391,breakfast,155.96,OUT027,1985,medium,Tier 3,supermarket type3,3285.72
88,FDN33,6.3,regular,0.1231,snack foods,95.64,OUT046,1997,small,Tier 1,supermarket type1,661.81
89,FDN27,20.85,low fat,0.0396,meat,117.28,OUT049,1999,medium,Tier 1,supermarket type1,1523.35
90,FDW20,20.75,low fat,0.0404,fruits and vegetables,122.17,OUT010,1998,medium,Tier 3,grocery store,369.52
91,DRG27,8.9,low fat,0.1053,dairy,39.91,OUT049,1999,medium,Tier 1,supermarket type1,690.43
92,DRI25,19.6,low fat,0.034,soft drinks,55.16,OUT045,2002,medium,Tier 2,supermarket type1,1381.54
93,FDA44,19.7,low fat,0.0532,fruits and vegetables,57.89,OUT035,2004,small,Tier 2,supermarket type1,622.52
94,NCR17,9.8,low fat,0.0244,health and hygiene,114.55,OUT035,2004,small,Tier 2,supermarket type1,1274.34
95,FDU04,12.86,low fat,0.0097,frozen foods,120.04,OUT019,1985,small,Tier 1,grocery store,487.37
96,FDF41,12.15,low fat,0.1314,frozen foods,246.05,OUT049,1999,medium,Tier 1,supermarket type1,1231.73
97,FDB56,8.75,regular,0.0746,fruits and vegetables,187.46,OUT035,2004,small,Tier 2,supermarket type1,3755.11
98,NCP18,12.86,low fat,0.0285,household,149.97,OUT027,1985,medium,Tier 3,supermarket type3,4363.65
99,FDB56,8.75,regular,0.0746,fruits and vegetables,187.86,OUT046,1997,small,Tier 1,supermarket type1,1314.29
100,FDT28,13.3,low fat,0.0637,frozen foods,151.07,OUT045,2002,medium,Tier 2,supermarket type1,1805.65
101,FDD10,12.86,regular,0.0458,snack foods,178.53,OUT027,1985,medium,Tier 3,supermarket type3,2854.95
102,FDW57,8.31,regular,0.1159,snack foods,179.1,OUT049,1999,medium,Tier 1,supermarket type1,3896.26
103,DRB48,16.75,regular,0.0248,soft drinks,38.78,OUT013,1987,high,Tier 3,supermarket type1,667.8
104,FDP09,19.75,low fat,0.034,snack foods,212.09,OUT018,2009,medium,Tier 3,supermarket type2,3185.85
105,FDH14,17.1,regular,0.0468,canned,141.18,OUT013,1987,high,Tier 3,supermarket type1,2247.74
106,FDA47,10.5,regular,0.1166,baking goods,163.12,OUT013,1987,high,Tier 3,supermarket type1,1794.33
107,FDG12,6.64,regular,0.0,baking goods,121.31,OUT045,2002,medium,Tier 2,supermarket type1,2530.71
109,DRK49,14.15,low fat,0.0359,soft drinks,41.41,OUT013,1987,high,Tier 3,supermarket type1,812.28
110,FDD03,13.3,low fat,0.0798,dairy,232.53,OUT046,1997,small,Tier 1,supermarket type1,699.09
